timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-01-23T15:01:50.666710+07:00,Hồ Chí Minh,166,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,63%
2025-01-23T16:01:53.159197+07:00,Hồ Chí Minh,164,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.1 km/h,67%
2025-01-23T17:02:12.028498+07:00,Hồ Chí Minh,161,/dl/web/weather/ic-w-09-mist-full.svg,9.2 km/h,68%
2025-01-23T19:02:05.883017+07:00,Hồ Chí Minh,156,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,68%
2025-01-23T20:05:25.304862+07:00,Hồ Chí Minh,156,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,72%
2025-01-23T21:01:57.877923+07:00,Hồ Chí Minh,138,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,72%
2025-01-23T22:01:59.598759+07:00,Hồ Chí Minh,99,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.1 km/h,74%
2025-01-23T23:01:54.179428+07:00,Hồ Chí Minh,91,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,7.4 km/h,75%
2025-01-24T00:02:13.717212+07:00,Hồ Chí Minh,82,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,5.5 km/h,76%
2025-01-24T01:01:54.216584+07:00,Hồ Chí Minh,82,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,5.5 km/h,74%
2025-01-24T02:01:48.372571+07:00,Hồ Chí Minh,91,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,3.7 km/h,75%
2025-01-24T03:01:52.043644+07:00,Hồ Chí Minh,86,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,1.8 km/h,74%
2025-01-24T04:01:48.994841+07:00,Hồ Chí Minh,93,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,77%
2025-01-24T05:01:45.285360+07:00,Hồ Chí Minh,102,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,5.5 km/h,79%
2025-01-24T06:01:47.940967+07:00,Hồ Chí Minh,97,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,81%
2025-01-24T07:04:26.862234+07:00,Hồ Chí Minh,101,/dl/web/weather/ic-w-09-mist-full.svg,7.4 km/h,85%
2025-01-24T08:28:26.885176+07:00,Hồ Chí Minh,171,/dl/web/weather/ic-w-09-mist-full.svg,3.7 km/h,78%
2025-01-24T09:21:33.867403+07:00,Hồ Chí Minh,220,/dl/web/weather/ic-w-09-mist-full.svg,9.7 km/h,71%
2025-01-24T10:02:46.100600+07:00,Hồ Chí Minh,220,/dl/web/weather/ic-w-09-mist-full.svg,9.7 km/h,71%
2025-01-24T11:01:48.543689+07:00,Hồ Chí Minh,216,/dl/web/weather/ic-w-09-mist-full.svg,5.5 km/h,62%
2025-01-24T12:01:39.165862+07:00,Hồ Chí Minh,191,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,57%
2025-01-24T13:01:59.328926+07:00,Hồ Chí Minh,174,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.3 km/h,53%
2025-01-24T14:01:54.906013+07:00,Hồ Chí Minh,159,/dl/web/weather/ic-w-02-new-clouds-full.svg,11.1 km/h,52%
2025-01-24T15:02:00.209872+07:00,Hồ Chí Minh,155,/dl/web/weather/ic-w-01-clear-sky-full.svg,11.3 km/h,53%
2025-01-24T16:01:54.569800+07:00,Hồ Chí Minh,163,/dl/web/weather/ic-w-02-new-clouds-full.svg,18.5 km/h,70%
2025-01-24T17:01:50.912027+07:00,Hồ Chí Minh,154,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,25.9 km/h,69%
2025-01-24T18:01:52.523848+07:00,Hồ Chí Minh,132,/dl/web/weather/ic-w-02-new-clouds-full.svg,20.4 km/h,69%
2025-01-24T19:02:11.045858+07:00,Hồ Chí Minh,89,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,14.8 km/h,71%
2025-01-24T20:04:54.065734+07:00,Hồ Chí Minh,66,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,11.1 km/h,72%
2025-01-24T21:01:54.160759+07:00,Hồ Chí Minh,67,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,11.1 km/h,72%
2025-01-24T22:01:56.885129+07:00,Hồ Chí Minh,69,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,14.8 km/h,73%
2025-01-24T23:01:53.803111+07:00,Hồ Chí Minh,69,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,14.8 km/h,74%
